Castlevania Legends EUR GAME BOY Artbox Only NO GAME inside;22,90 EUR;Envío no especificado;desde Italia;
Castlevania Legends Akumajo Dracula - Nintendo Gameboy Color GBC NTSC-J JAPAN BE;165,90 EUR;+ 24,90 EUR de envío;desde Francia;
Akumajo Dracula Castlevania Legends Nintendo Game Boy GB Japan NTSC;188,00 EUR;+ 36,00 EUR de envío;desde Francia;
Nintendo Gameboy-rareza!!! - Castlevania Legends-muy buen estado;129,00 EUR;+ 7,20 EUR de envío;desde Alemania;
Castlevania Legends USA Version GAME BOY art box ,NO GAME inside;26,90 EUR;Envío no especificado;desde Italia;
Castlevania Legends EUR GAME BOY art box ,NO GAME inside;22,90 EUR;Envío no especificado;desde Italia;
Castlevania Legends-Game Boy/GB-Completo Con Caja Protector-limpio, probado, Funciona;708,87 EUR;+ 8,82 EUR de envío;desde Estados Unidos;
Castlevania Legends Dark Knight Prelude, Game Boy, Japan Import, AuthenticTested;139,42 EUR;+ 17,43 EUR de envío;desde Canadá;
Castlevania Legends-auténtico-Nintendo Game Boy-Solo Manual!;239,51 EUR;Envío gratis;desde Estados Unidos;
Castlevania Legends Game Boy Nintendo Portachiavi Keyring;2,22 EUR;+ 2,50 EUR de envío;desde España;
