Game Boy GB:Ghostbusters II - S.O.S. Fantômes [TOP & 1ERE EDITION RARE] Jap;39,90 EUR;+30,30 EUR shipping;Sold  Nov 21, 2021Sold Item;from France;
Ghostbusters II (2) Nintendo Gameboy Game Boy Classic PAL NOE CIB OVP;291,00 EUR;+7,35 EUR shipping;Sold  Nov 14, 2021Sold Item;from Germany;
Gameboy: Ghostbusters II 2. Promotional 4 TH 4 Free. Original RARE wanted game;39,99 EUR;+19,99 EUR shipping;Sold  Oct 10, 2021Sold Item;from Netherlands;
Ghostbusters II Nintendo Game Boy Color Advance Game Cart Only Genuine;45,58 EUR;+7,02 EUR shipping;Sold  Sep 19, 2021Sold Item;from United Kingdom;
Gameboy Ghostbusters II boxed with instructions;55,00 EUR;+32,84 EUR shipping estimate;Sold  Sep 12, 2021Sold Item;from United Kingdom;
Ghostbusters II 2 Nintendo Game Boy Gameboy Original Authentic!;37,21 EUR;+5,45 EUR shipping;Sold  Nov 22, 2021Sold Item;from United States;
Ghostbusters II 2 GB Nintendo Game Boy Cart w/ Manual Tested;43,42 EUR;+3,12 EUR shipping;Sold  Nov 22, 2021Sold Item;from United States;
Ghostbusters II 2 original Game Boy GameBoy AUTHENTIC case black logo ghost bust;62,02 EUR;Free shipping;Sold  Nov 21, 2021Sold Item;from United States;
Ghostbusters II 2 Nintendo Game Boy Gameboy Original Authentic TESTED READ SEE;33,63 EUR;Free shipping;Sold  Nov 13, 2021Sold Item;from United States;
Ghostbusters II Nintendo Game Boy 1989 Hal Laboratory Japanese US Seller;26,57 EUR;Free shipping;Sold  Nov 12, 2021Sold Item;from United States;
Ghostbusters II 2 complete cib Nintendo Game Boy Gameboy Authentic rare gb;109,93 EUR;+4,65 EUR shipping;Sold  Nov 7, 2021Sold Item;from United States;
Ghostbusters II Nintendo Game Boy 1989 Hal Laboratory Japan;29,86 EUR;+17,72 EUR shipping;Sold  Oct 31, 2021Sold Item;from Japan;
Ghostbusters II 2 Nintendo Game Boy Gameboy Original Authentic!;38,49 EUR;Free shipping;Sold  Oct 14, 2021Sold Item;from United States;
Ghostbusters II 2 (Nintendo Game Boy) WATA 7.0 A NEW Factory Sealed  GameBoy;6.202,64 EUR;Free shipping;Sold  Oct 11, 2021Sold Item;from United States;
Ghostbusters II 2 Nintendo GameBoy Instruction Booklet Manual ONLY - NO GAME;31,00 EUR;Free shipping;Sold  Sep 16, 2021Sold Item;from United States;
Ghostbusters II Pack - in Video LCD Game;81,00 EUR;+14,50 EUR shipping;Sold  Nov 14, 2021Sold Item;from Germany;
