Nintendo Game Boy - Mr. Nutz - PAL - FAH;14,99 EUR;+5,00 EUR shipping;from France;
Nintendo Game Boy Classic Game Mr. Nutz Module Dri;29,90 EUR;+8,99 EUR shipping;from Germany;
Nintendo Gameboy Advance Game-Mr. Nutz (Module);9,99 EUR;+67,99 EUR shipping;from Germany;
Gameboy Game Mr. Nutz Nintendo Classic Retro * TESTED;13,95 EUR;Shipping not specified;from Germany;
Mr. Nutz (Nintendo Game Boy Color, 1999) 100% Complete CIB Box Manual Etc! RARE;177,78 EUR;Free shipping;from United States;
Mr. Nutz   - Nintendo GAME BOY COLOR;44,01 EUR;Free shipping;from United States;
Mr. Nutz Game Boy Color Video Game & Manual Only ~ Tested & Working;64,90 EUR;Free shipping;from United States;
Mr. Nutz - EUR - Nintendo Gameboy Advance - GBA;49,00 EUR;+25,00 EUR shipping;from Netherlands;
Mr. Nutz Gameboy Color GBC CIB Complete Cart Box Manual Inserts Reg Card;177,78 EUR;+4,67 EUR shipping;from United States;
Mr. Nutz (Nintendo Game Boy Color, 1999) * Cartridge Only*  FREE SHIPPING;39,69 EUR;Free shipping;from United States;
Mr. Nutz (Nintendo GameBoy Color, 1999) GBC Authentic TESTED Rare!;44,45 EUR;Free shipping;from United States;
1994 Mr. Nutz Video game Sega Genesis SNES Game Boy Rare Vintage Poster 40x56cm;80,01 EUR;+11,55 EUR shipping;from Germany;
Mr. Nutz Snes Genesis Gameboy Vinyl Record Soundtrack 2 LP Orange + Print Art;167,15 EUR;+8,88 EUR shipping;from United States;
- Mr. Nutz German Ver. N64 Replacement Cartridge Game Case Box + Cover Art Only;7,64 EUR;+2,34 EUR shipping;from United Kingdom;
