Nintendo Gameboy ☆ FIFA World Cup 98 ☆ sealed ☆ rare ☆ Game Boy ☆ VGA Wata ready ☆ france 98;539,00 EUR;+ 11,39 EUR de envío;Vendidos  15 nov 2021Artículo vendido;desde Alemania;
Gb-World Cup 98 para Nintendo GameBoy;4,95 EUR;+ 9,95 EUR de envío;Vendidos  6 nov 2021Artículo vendido;desde Alemania;
World Cup 98 para Nintendo GameBoy;4,90 EUR;+ 9,99 EUR de envío;Vendidos  15 oct 2021Artículo vendido;desde Alemania;
Lotto 4 Giochi Game Boy PAL Tennis World Cup 98 Lamborghini Famista Nintendo gb ;32,00 EUR;Envío no especificado;Vendidos  13 oct 2021Artículo vendido;desde Italia;
SNES Nintendo-fifa Road to World Cup 98-Embalaje original-Top-rar-Pal;69,90 EUR;Envío no especificado;Vendidos  9 sep 2021Artículo vendido;desde Alemania;
La FIFA: Road to World Cup 98 Video Juego Para Sony PlayStation PS1 Pal probado;9,39 EUR;+ 17,11 EUR de envío estimado;Vendidos  13 sep 2021Artículo vendido;desde Reino Unido;
FIFA Road To World Cup 98 - PlayStation 1 PS1 PAL Ita ;20,00 EUR;+ 27,00 EUR de envío;Vendidos  4 nov 2021Artículo vendido;desde Italia;
Nintendo 64 n64 juego EA Sports FIFA World Cup 98 con embalaje original y guía ukv;19,90 EUR;+ 8,99 EUR de envío;Vendidos  14 sep 2021Artículo vendido;desde Alemania;
World Cup 98-completamente/embalaje original Nintendo 64 n64;10,00 EUR;+ 12,00 EUR de envío;Vendidos  9 oct 2021Artículo vendido;desde Alemania;
La FIFA: Road to World Cup 98 disco solamente (Sony PlayStation 1) en muy buena condición;8,22 EUR;+ 5,29 EUR de envío;Vendidos  26 sep 2021Artículo vendido;desde Reino Unido;
